actual_price,predicted_price
45.62,43.377285
51.77,48.218487
55.83,47.276882
53.94,49.108547
50.7,44.81648
44.27,38.828876
44.0,39.39907
40.7,33.06057
37.56,30.77187
36.71,32.80532
36.37,33.567776
35.87,33.323765
35.76,34.31717
38.7,37.574535
48.03,46.733723
53.5,52.68709
52.5,45.116085
49.42,42.48849
44.74,40.329018
42.17,38.934185
40.38,38.05253
39.32,37.63681
38.7,36.680145
42.14,38.168926
46.19,40.32248
52.5,43.026226
56.84,47.084522
55.08,43.905247
51.35,41.56108
46.78,37.7244
45.9,32.729042
41.54,31.75662
40.49,29.292873
39.46,30.718092
38.92,30.718092
38.66,29.469631
39.08,31.364935
41.65,34.3116
50.68,44.567715
56.99,52.820477
54.04,48.629986
49.52,44.70431
44.29,41.543602
40.7,39.38521
38.85,37.721935
38.53,37.6003
38.74,36.55214
39.92,38.575817
43.97,38.782047
48.86,44.412025
51.34,47.763542
50.47,45.075397
46.4,41.23419
40.6,39.495304
40.01,38.218067
35.58,32.021107
31.19,31.350576
30.21,32.443153
29.55,30.753885
28.51,30.443874
30.19,33.14839
33.63,34.646416
42.47,45.53962
48.96,49.847935
47.48,47.759167
42.79,44.13315
41.23,39.267002
38.2,37.354923
37.41,34.328392
36.83,34.036804
37.7,33.93851
39.84,37.49838
42.59,38.481255
47.77,43.74302
51.37,45.560604
51.73,45.294357
48.55,40.780285
44.91,40.369186
43.36,37.79425
40.89,32.388847
38.45,28.652145
36.8,33.149113
36.57,29.08299
35.88,29.555948
36.9,31.615673
39.22,36.32694
46.14,42.913303
50.54,46.304134
52.25,46.39329
51.36,43.7408
51.06,38.548798
49.98,35.72803
47.78,33.718304
46.49,37.749004
45.92,37.6638
45.58,39.69258
46.47,41.300587
49.91,46.04646
52.74,47.41561
52.25,48.71325
49.49,44.770256
46.46,40.51137
45.57,38.756924
43.52,35.083378
43.29,31.274036
42.09,29.661085
40.35,29.76836
38.75,28.399261
38.71,29.19966
39.18,30.87298
40.12,34.207027
42.71,36.781475
46.82,37.50258
47.64,37.07942
47.3,36.410328
45.13,35.619446
42.68,33.385845
39.53,31.690317
38.88,32.159348
38.5,34.361794
40.39,37.11531
42.96,44.36639
45.24,48.505924
44.9,46.406242
37.88,42.933273
31.8,38.697926
30.51,38.29635
25.44,34.61021
19.78,32.302013
8.82,32.007538
4.07,29.062447
2.55,26.891977
-0.84,26.84745
1.12,28.108068
-2.88,26.712252
-0.93,32.34659
4.45,31.040947
4.29,33.39159
7.05,32.32764
9.95,32.729687
10.42,31.57501
5.72,26.58044
7.9,24.707737
9.38,24.7766
16.0,28.689613
23.54,35.771893
32.55,39.441242
34.5,39.589508
26.7,34.76751
21.46,31.705587
23.56,30.467873
15.57,24.002802
3.57,15.956423
3.9,24.198015
-0.92,24.979078
-3.86,23.327427
0.09,22.858479
9.08,32.287197
25.41,32.681362
34.88,35.384823
34.98,38.235786
31.42,44.537163
16.56,40.51644
8.94,35.930637
11.16,35.890804
8.35,34.919155
11.21,36.647354
16.18,31.830406
19.61,36.81702
29.57,38.596985
41.73,47.33037
42.36,48.7181
32.64,38.37203
27.25,35.75848
21.07,34.120354
11.91,28.438347
-0.4,21.122763
-3.19,23.32605
-4.98,19.333189
-2.49,18.33322
-1.5,21.621338
6.39,27.915628
29.59,31.420399
41.64,39.947227
39.38,38.199818
32.48,35.660748
26.58,29.808893
28.04,30.901949
29.6,29.977776
29.58,29.999006
32.41,29.245806
38.15,31.129726
41.48,30.833223
47.32,36.17027
53.0,44.641502
55.19,45.234123
51.2,38.70774
46.64,33.787483
44.55,31.511454
40.64,26.78125
37.54,26.02403
34.98,29.076561
34.0,25.335579
32.65,25.20894
32.92,24.943178
35.04,33.500233
43.16,37.33079
48.0,44.322906
47.85,42.24708
42.08,36.27507
36.8,30.895311
34.04,31.81908
32.12,29.112093
31.92,29.90685
32.02,29.068083
33.11,31.677961
33.97,35.504543
39.5,41.898354
44.8,47.238754
44.2,47.11035
40.22,43.544804
32.12,39.017616
31.73,36.90108
28.61,30.832031
26.72,27.367842
23.41,30.164858
21.51,29.966398
19.84,29.337389
22.15,30.341208
26.2,31.316439
35.05,38.985104
42.24,43.327415
42.02,42.835407
36.02,37.647877
31.06,33.477905
30.08,31.335648
28.13,31.318316
24.54,31.246181
25.52,31.278286
